0x0000 | 0b0000000000000 | 000 | minecraft:air                           | minecraft:air
0x0046 | 0b0000001000110 | --- | --------------------------------------- | ---
0x0047 | 0b0000001000111 | --- | --------------------------------------- | ---
0x0048 | 0b0000001001000 | --- | --------------------------------------- | ---
0x0049 | 0b0000001001001 | --- | --------------------------------------- | ---
0x004a | 0b0000001001010 | --- | --------------------------------------- | ---
0x004b | 0b0000001001011 | --- | --------------------------------------- | ---
0x004c | 0b0000001001100 | --- | --------------------------------------- | ---
0x004d | 0b0000001001101 | --- | --------------------------------------- | ---
0x004e | 0b0000001001110 | --- | --------------------------------------- | ---
0x004f | 0b0000001001111 | --- | --------------------------------------- | ---
0x0050 | 0b0000001010000 | 005 | minecraft:planks                        | minecraft:planks[variant=oak]
0x0051 | 0b0000001010001 | 005 | minecraft:planks                        | minecraft:planks[variant=spruce]
0x0052 | 0b0000001010010 | 005 | minecraft:planks                        | minecraft:planks[variant=birch]
0x0053 | 0b0000001010011 | 005 | minecraft:planks                        | minecraft:planks[variant=jungle]
0x0054 | 0b0000001010100 | 005 | minecraft:planks                        | minecraft:planks[variant=acacia]
0x0055 | 0b0000001010101 | 005 | minecraft:planks                        | minecraft:planks[variant=dark_oak]
0x0056 | 0b0000001010110 | --- | --------------------------------------- | ---
0x0057 | 0b0000001010111 | --- | --------------------------------------- | ---
0x0058 | 0b0000001011000 | --- | --------------------------------------- | ---
0x0059 | 0b0000001011001 | --- | --------------------------------------- | ---
0x005a | 0b0000001011010 | --- | --------------------------------------- | ---
0x005b | 0b0000001011011 | --- | --------------------------------------- | ---
0x005c | 0b0000001011100 | --- | --------------------------------------- | ---
0x005d | 0b0000001011101 | --- | --------------------------------------- | ---
0x005e | 0b0000001011110 | --- | --------------------------------------- | ---
0x005f | 0b0000001011111 | --- | --------------------------------------- | ---
0x0060 | 0b0000001100000 | 006 | minecraft:sapling                       | minecraft:sapling[stage=0,type=oak]
0x0061 | 0b0000001100001 | 006 | minecraft:sapling                       | minecraft:sapling[stage=0,type=spruce]
0x0062 | 0b0000001100010 | 006 | minecraft:sapling                       | minecraft:sapling[stage=0,type=birch]
0x0063 | 0b0000001100011 | 006 | minecraft:sapling                       | minecraft:sapling[stage=0,type=jungle]
0x0064 | 0b0000001100100 | 006 | minecraft:sapling                       | minecraft:sapling[stage=0,type=acacia]
0x0065 | 0b0000001100101 | 006 | minecraft:sapling                       | minecraft:sapling[stage=0,type=dark_oak]
0x0066 | 0b0000001100110 | --- | --------------------------------------- | ---
0x0067 | 0b0000001100111 | --- | --------------------------------------- | ---
0x0068 | 0b0000001101000 | 006 | minecraft:sapling                       | minecraft:sapling[stage=1,type=oak]
0x0069 | 0b0000001101001 | 006 | minecraft:sapling                       | minecraft:sapling[stage=1,type=spruce]
0x006a | 0b0000001101010 | 006 | minecraft:sapling                       | minecraft:sapling[stage=1,type=birch]
0x006b | 0b0000001101011 | 006 | minecraft:sapling                       | minecraft:sapling[stage=1,type=jungle]
0x006c | 0b0000001101100 | 006 | minecraft:sapling                       | minecraft:sapling[stage=1,type=acacia]
0x006d | 0b0000001101101 | 006 | minecraft:sapling                       | minecraft:sapling[stage=1,type=dark_oak]
0x006e | 0b0000001101110 | --- | --------------------------------------- | ---
0x006f | 0b0000001101111 | --- | --------------------------------------- | ---
0x0070 | 0b0000001110000 | 007 | minecraft:bedrock                       | minecraft:bedrock
0x0071 | 0b0000001110001 | --- | --------------------------------------- | ---
0x0072 | 0b0000001110010 | --- | --------------------------------------- | ---
0x0073 | 0b0000001110011 | --- | --------------------------------------- | ---
0x0074 | 0b0000001110100 | --- | --------------------------------------- | ---
0x0075 | 0b0000001110101 | --- | --------------------------------------- | ---
0x0076 | 0b0000001110110 | --- | --------------------------------------- | ---
0x0077 | 0b0000001110111 | --- | --------------------------------------- | ---
0x0078 | 0b0000001111000 | --- | --------------------------------------- | ---
0x0079 | 0b0000001111001 | --- | --------------------------------------- | ---
0x007a | 0b0000001111010 | --- | --------------------------------------- | ---
0x007b | 0b0000001111011 | --- | --------------------------------------- | ---
0x007c | 0b0000001111100 | --- | --------------------------------------- | ---
0x007d | 0b0000001111101 | --- | --------------------------------------- | ---
0x007e | 0b0000001111110 | --- | --------------------------------------- | ---
0x007f | 0b0000001111111 | --- | --------------------------------------- | ---
0x0080 | 0b0000010000000 | 008 | minecraft:flowing_water                 | minecraft:flowing_water[level=0]
0x0081 | 0b0000010000001 | 008 | minecraft:flowing_water                 | minecraft:flowing_water[level=1]
0x0082 | 0b0000010000010 | 008 | minecraft:flowing_water                 | minecraft:flowing_water[level=2]
0x0083 | 0b0000010000011 | 008 | minecraft:flowing_water                 | minecraft:flowing_water[level=3]
0x0084 | 0b0000010000100 | 008 | minecraft:flowing_water                 | minecraft:flowing_water[level=4]
0x0085 | 0b0000010000101 | 008 | minecraft:flowing_water                 | minecraft:flowing_water[level=5]
0x0086 | 0b0000010000110 | 008 | minecraft:flowing_water                 | minecraft:flowing_water[level=6]
0x0087 | 0b0000010000111 | 008 | minecraft:flowing_water                 | minecraft:flowing_water[level=7]
0x0088 | 0b0000010001000 | 008 | minecraft:flowing_water                 | minecraft:flowing_water[level=8]
0x0089 | 0b0000010001001 | 008 | minecraft:flowing_water                 | minecraft:flowing_water[level=9]
0x008a | 0b0000010001010 | 008 | minecraft:flowing_water                 | minecraft:flowing_water[level=10]
0x008b | 0b0000010001011 | 008 | minecraft:flowing_water                 | minecraft:flowing_water[level=11]
0x008c | 0b0000010001100 | 008 | minecraft:flowing_water                 | minecraft:flowing_water[level=12]
0x008d | 0b0000010001101 | 008 | minecraft:flowing_water                 | minecraft:flowing_water[level=13]
0x008e | 0b0000010001110 | 008 | minecraft:flowing_water                 | minecraft:flowing_water[level=14]
0x008f | 0b0000010001111 | 008 | minecraft:flowing_water                 | minecraft:flowing_water[level=15]
0x0090 | 0b0000010010000 | 009 | minecraft:water                         | minecraft:water[level=0]
0x0091 | 0b0000010010001 | 009 | minecraft:water                         | minecraft:water[level=1]
0x0092 | 0b0000010010010 | 009 | minecraft:water                         | minecraft:water[level=2]
0x0093 | 0b0000010010011 | 009 | minecraft:water                         | minecraft:water[level=3]
0x0094 | 0b0000010010100 | 009 | minecraft:water                         | minecraft:water[level=4]
0x0095 | 0b0000010010101 | 009 | minecraft:water                         | minecraft:water[level=5]
0x0096 | 0b0000010010110 | 009 | minecraft:water                         | minecraft:water[level=6]
0x0097 | 0b0000010010111 | 009 | minecraft:water                         | minecraft:water[level=7]
0x0098 | 0b0000010011000 | 009 | minecraft:water                         | minecraft:water[level=8]
0x0099 | 0b0000010011001 | 009 | minecraft:water                         | minecraft:water[level=9]
0x009a | 0b0000010011010 | 009 | minecraft:water                         | minecraft:water[level=10]
0x009b | 0b0000010011011 | 009 | minecraft:water                         | minecraft:water[level=11]
0x009c | 0b0000010011100 | 009 | minecraft:water                         | minecraft:water[level=12]
0x009d | 0b0000010011101 | 009 | minecraft:water                         | minecraft:water[level=13]
0x009e | 0b0000010011110 | 009 | minecraft:water                         | minecraft:water[level=14]
0x009f | 0b0000010011111 | 009 | minecraft:water                         | minecraft:water[level=15]
0x00a0 | 0b0000010100000 | 010 | minecraft:flowing_lava                  | minecraft:flowing_lava[level=0]
0x00a1 | 0b0000010100001 | 010 | minecraft:flowing_lava                  | minecraft:flowing_lava[level=1]
0x00a2 | 0b0000010100010 | 010 | minecraft:flowing_lava                  | minecraft:flowing_lava[level=2]
0x00a3 | 0b0000010100011 | 010 | minecraft:flowing_lava                  | minecraft:flowing_lava[level=3]
0x00a4 | 0b0000010100100 | 010 | minecraft:flowing_lava                  | minecraft:flowing_lava[level=4]
0x00a5 | 0b0000010100101 | 010 | minecraft:flowing_lava                  | minecraft:flowing_lava[level=5]
0x00a6 | 0b0000010100110 | 010 | minecraft:flowing_lava                  | minecraft:flowing_lava[level=6]
0x00a7 | 0b0000010100111 | 010 | minecraft:flowing_lava                  | minecraft:flowing_lava[level=7]
0x00a8 | 0b0000010101000 | 010 | minecraft:flowing_lava                  | minecraft:flowing_lava[level=8]
0x00a9 | 0b0000010101001 | 010 | minecraft:flowing_lava                  | minecraft:flowing_lava[level=9]
0x00aa | 0b0000010101010 | 010 | minecraft:flowing_lava                  | minecraft:flowing_lava[level=10]
0x00ab | 0b0000010101011 | 010 | minecraft:flowing_lava                  | minecraft:flowing_lava[level=11]
0x00ac | 0b0000010101100 | 010 | minecraft:flowing_lava                  | minecraft:flowing_lava[level=12]
0x00ad | 0b0000010101101 | 010 | minecraft:flowing_lava                  | minecraft:flowing_lava[level=13]
0x00ae | 0b0000010101110 | 010 | minecraft:flowing_lava                  | minecraft:flowing_lava[level=14]
0x00af | 0b0000010101111 | 010 | minecraft:flowing_lava                  | minecraft:flowing_lava[level=15]
0x00b0 | 0b0000010110000 | 011 | minecraft:lava                          | minecraft:lava[level=0]
0x00b1 | 0b0000010110001 | 011 | minecraft:lava                          | minecraft:lava[level=1]
0x00b2 | 0b0000010110010 | 011 | minecraft:lava                          | minecraft:lava[level=2]
0x00b3 | 0b0000010110011 | 011 | minecraft:lava                          | minecraft:lava[level=3]
0x00b4 | 0b0000010110100 | 011 | minecraft:lava                          | minecraft:lava[level=4]
0x00b5 | 0b0000010110101 | 011 | minecraft:lava                          | minecraft:lava[level=5]
0x00b6 | 0b0000010110110 | 011 | minecraft:lava                          | minecraft:lava[level=6]
0x00b7 | 0b0000010110111 | 011 | minecraft:lava                          | minecraft:lava[level=7]
0x00b8 | 0b0000010111000 | 011 | minecraft:lava                          | minecraft:lava[level=8]
0x00b9 | 0b0000010111001 | 011 | minecraft:lava                          | minecraft:lava[level=9]
0x00ba | 0b0000010111010 | 011 | minecraft:lava                          | minecraft:lava[level=10]
0x00bb | 0b0000010111011 | 011 | minecraft:lava                          | minecraft:lava[level=11]
0x00bc | 0b0000010111100 | 011 | minecraft:lava                          | minecraft:lava[level=12]
0x00bd | 0b0000010111101 | 011 | minecraft:lava                          | minecraft:lava[level=13]
0x00be | 0b0000010111110 | 011 | minecraft:lava                          | minecraft:lava[level=14]
0x00bf | 0b0000010111111 | 011 | minecraft:lava                          | minecraft:lava[level=15]
0x00c0 | 0b0000011000000 | 012 | minecraft:sand                          | minecraft:sand[variant=sand]
0x00c1 | 0b0000011000001 | 012 | minecraft:sand                          | minecraft:sand[variant=red_sand]
0x00c2 | 0b0000011000010 | --- | --------------------------------------- | ---
0x00c3 | 0b0000011000011 | --- | --------------------------------------- | ---
0x00c4 | 0b0000011000100 | --- | --------------------------------------- | ---
0x00c5 | 0b0000011000101 | --- | --------------------------------------- | ---
0x00c6 | 0b0000011000110 | --- | --------------------------------------- | ---
0x00c7 | 0b0000011000111 | --- | --------------------------------------- | ---
0x00c8 | 0b0000011001000 | --- | --------------------------------------- | ---
0x00c9 | 0b0000011001001 | --- | --------------------------------------- | ---
0x00ca | 0b0000011001010 | --- | --------------------------------------- | ---
0x00cb | 0b0000011001011 | --- | --------------------------------------- | ---
0x00cc | 0b0000011001100 | --- | --------------------------------------- | ---
0x00cd | 0b0000011001101 | --- | --------------------------------------- | ---
0x00ce | 0b0000011001110 | --- | --------------------------------------- | ---
0x00cf | 0b0000011001111 | --- | --------------------------------------- | ---
0x00d0 | 0b0000011010000 | 013 | minecraft:gravel                        | minecraft:gravel
0x00d1 | 0b0000011010001 | --- | --------------------------------------- | ---
0x00d2 | 0b0000011010010 | --- | --------------------------------------- | ---
0x00d3 | 0b0000011010011 | --- | --------------------------------------- | ---
0x00d4 | 0b0000011010100 | --- | --------------------------------------- | ---
0x00d5 | 0b0000011010101 | --- | --------------------------------------- | ---
0x00d6 | 0b0000011010110 | --- | --------------------------------------- | ---
0x00d7 | 0b0000011010111 | --- | --------------------------------------- | ---
0x00d8 | 0b0000011011000 | --- | --------------------------------------- | ---
0x00d9 | 0b0000011011001 | --- | --------------------------------------- | ---
0x00da | 0b0000011011010 | --- | --------------------------------------- | ---
0x00db | 0b0000011011011 | --- | --------------------------------------- | ---
0x00dc | 0b0000011011100 | --- | --------------------------------------- | ---
0x00dd | 0b0000011011101 | --- | --------------------------------------- | ---
0x00de | 0b0000011011110 | --- | --------------------------------------- | ---
0x00df | 0b0000011011111 | --- | --------------------------------------- | ---
0x00e0 | 0b0000011100000 | 014 | minecraft:gold_ore                      | minecraft:gold_ore
0x00e1 | 0b0000011100001 | --- | --------------------------------------- | ---
0x00e2 | 0b0000011100010 | --- | --------------------------------------- | ---
0x00e3 | 0b0000011100011 | --- | --------------------------------------- | ---
0x00e4 | 0b0000011100100 | --- | --------------------------------------- | ---
0x00e5 | 0b0000011100101 | --- | --------------------------------------- | ---
0x00e6 | 0b0000011100110 | --- | --------------------------------------- | ---
0x00e7 | 0b0000011100111 | --- | --------------------------------------- | ---
0x00e8 | 0b0000011101000 | --- | --------------------------------------- | ---
0x00e9 | 0b0000011101001 | --- | --------------------------------------- | ---
0x00ea | 0b0000011101010 | --- | --------------------------------------- | ---
0x00eb | 0b0000011101011 | --- | --------------------------------------- | ---
0x00ec | 0b0000011101100 | --- | --------------------------------------- | ---
0x00ed | 0b0000011101101 | --- | --------------------------------------- | ---
0x00ee | 0b0000011101110 | --- | --------------------------------------- | ---
0x00ef | 0b0000011101111 | --- | --------------------------------------- | ---
0x00f0 | 0b0000011110000 | 015 | minecraft:iron_ore                      | minecraft:iron_ore
0x00f1 | 0b0000011110001 | --- | --------------------------------------- | ---
0x00f2 | 0b0000011110010 | --- | --------------------------------------- | ---
0x00f3 | 0b0000011110011 | --- | --------------------------------------- | ---
0x00f4 | 0b0000011110100 | --- | --------------------------------------- | ---
0x00f5 | 0b0000011110101 | --- | --------------------------------------- | ---
0x00f6 | 0b0000011110110 | --- | --------------------------------------- | ---
0x00f7 | 0b0000011110111 | --- | --------------------------------------- | ---
0x00f8 | 0b0000011111000 | --- | --------------------------------------- | ---
0x00f9 | 0b0000011111001 | --- | --------------------------------------- | ---
0x00fa | 0b0000011111010 | --- | --------------------------------------- | ---
0x00fb | 0b0000011111011 | --- | --------------------------------------- | ---
0x00fc | 0b0000011111100 | --- | --------------------------------------- | ---
0x00fd | 0b0000011111101 | --- | --------------------------------------- | ---
0x00fe | 0b0000011111110 | --- | --------------------------------------- | ---
0x00ff | 0b0000011111111 | --- | --------------------------------------- | ---
0x0100 | 0b0000100000000 | 016 | minecraft:coal_ore                      | minecraft:coal_ore
0x0101 | 0b0000100000001 | --- | --------------------------------------- | ---
0x0102 | 0b0000100000010 | --- | --------------------------------------- | ---
0x0103 | 0b0000100000011 | --- | --------------------------------------- | ---
0x0104 | 0b0000100000100 | --- | --------------------------------------- | ---
0x0105 | 0b0000100000101 | --- | --------------------------------------- | ---
0x0106 | 0b0000100000110 | --- | --------------------------------------- | ---
0x0107 | 0b0000100000111 | --- | --------------------------------------- | ---
0x0108 | 0b0000100001000 | --- | --------------------------------------- | ---
0x0109 | 0b0000100001001 | --- | --------------------------------------- | ---
0x010a | 0b0000100001010 | --- | --------------------------------------- | ---
0x010b | 0b0000100001011 | --- | --------------------------------------- | ---
0x010c | 0b0000100001100 | --- | --------------------------------------- | ---
0x010d | 0b0000100001101 | --- | --------------------------------------- | ---
0x010e | 0b0000100001110 | --- | --------------------------------------- | ---
0x010f | 0b0000100001111 | --- | --------------------------------------- | ---
0x0110 | 0b0000100010000 | 017 | minecraft:log                           | minecraft:log[axis=y,variant=oak]
0x0111 | 0b0000100010001 | 017 | minecraft:log                           | minecraft:log[axis=y,variant=spruce]
0x0112 | 0b0000100010010 | 017 | minecraft:log                           | minecraft:log[axis=y,variant=birch]
0x0113 | 0b0000100010011 | 017 | minecraft:log                           | minecraft:log[axis=y,variant=jungle]
0x0114 | 0b0000100010100 | 017 | minecraft:log                           | minecraft:log[axis=x,variant=oak]
0x0115 | 0b0000100010101 | 017 | minecraft:log                           | minecraft:log[axis=x,variant=spruce]
0x0116 | 0b0000100010110 | 017 | minecraft:log                           | minecraft:log[axis=x,variant=birch]
0x0117 | 0b0000100010111 | 017 | minecraft:log                           | minecraft:log[axis=x,variant=jungle]
0x0118 | 0b0000100011000 | 017 | minecraft:log                           | minecraft:log[axis=z,variant=oak]
0x0119 | 0b0000100011001 | 017 | minecraft:log                           | minecraft:log[axis=z,variant=spruce]
0x011a | 0b0000100011010 | 017 | minecraft:log                           | minecraft:log[axis=z,variant=birch]
0x011b | 0b0000100011011 | 017 | minecraft:log                           | minecraft:log[axis=z,variant=jungle]
0x011c | 0b0000100011100 | 017 | minecraft:log                           | minecraft:log[axis=none,variant=oak]
0x011d | 0b0000100011101 | 017 | minecraft:log                           | minecraft:log[axis=none,variant=spruce]
0x011e | 0b0000100011110 | 017 | minecraft:log                           | minecraft:log[axis=none,variant=birch]
0x011f | 0b0000100011111 | 017 | minecraft:log                           | minecraft:log[axis=none,variant=jungle]
0x0120 | 0b0000100100000 | 018 | minecraft:leaves                        | minecraft:leaves[check_decay=false,decayable=true,variant=oak]
0x0121 | 0b0000100100001 | 018 | minecraft:leaves                        | minecraft:leaves[check_decay=false,decayable=true,variant=spruce]
0x0122 | 0b0000100100010 | 018 | minecraft:leaves                        | minecraft:leaves[check_decay=false,decayable=true,variant=birch]
0x0123 | 0b0000100100011 | 018 | minecraft:leaves                        | minecraft:leaves[check_decay=false,decayable=true,variant=jungle]
0x0124 | 0b0000100100100 | 018 | minecraft:leaves                        | minecraft:leaves[check_decay=false,decayable=false,variant=oak]
0x0125 | 0b0000100100101 | 018 | minecraft:leaves                        | minecraft:leaves[check_decay=false,decayable=false,variant=spruce]
0x0126 | 0b0000100100110 | 018 | minecraft:leaves                        | minecraft:leaves[check_decay=false,decayable=false,variant=birch]
0x0127 | 0b0000100100111 | 018 | minecraft:leaves                        | minecraft:leaves[check_decay=false,decayable=false,variant=jungle]
0x0128 | 0b0000100101000 | 018 | minecraft:leaves                        | minecraft:leaves[check_decay=true,decayable=true,variant=oak]
0x0129 | 0b0000100101001 | 018 | minecraft:leaves                        | minecraft:leaves[check_decay=true,decayable=true,variant=spruce]
0x012a | 0b0000100101010 | 018 | minecraft:leaves                        | minecraft:leaves[check_decay=true,decayable=true,variant=birch]
0x012b | 0b0000100101011 | 018 | minecraft:leaves                        | minecraft:leaves[check_decay=true,decayable=true,variant=jungle]
0x012c | 0b0000100101100 | 018 | minecraft:leaves                        | minecraft:leaves[check_decay=true,decayable=false,variant=oak]
0x012d | 0b0000100101101 | 018 | minecraft:leaves                        | minecraft:leaves[check_decay=true,decayable=false,variant=spruce]
0x012e | 0b0000100101110 | 018 | minecraft:leaves                        | minecraft:leaves[check_decay=true,decayable=false,variant=birch]
0x012f | 0b0000100101111 | 018 | minecraft:leaves                        | minecraft:leaves[check_decay=true,decayable=false,variant=jungle]
0x0130 | 0b0000100110000 | 019 | minecraft:sponge                        | minecraft:sponge[wet=false]
0x0131 | 0b0000100110001 | 019 | minecraft:sponge                        | minecraft:sponge[wet=true]
0x0132 | 0b0000100110010 | --- | --------------------------------------- | ---
0x0133 | 0b0000100110011 | --- | --------------------------------------- | ---
0x0134 | 0b0000100110100 | --- | --------------------------------------- | ---
0x0135 | 0b0000100110101 | --- | --------------------------------------- | ---
0x0136 | 0b0000100110110 | --- | --------------------------------------- | ---
0x0137 | 0b0000100110111 | --- | --------------------------------------- | ---
0x0138 | 0b0000100111000 | --- | --------------------------------------- | ---
0x0139 | 0b0000100111001 | --- | --------------------------------------- | ---
0x013a | 0b0000100111010 | --- | --------------------------------------- | ---
0x013b | 0b0000100111011 | --- | --------------------------------------- | ---
0x013c | 0b0000100111100 | --- | --------------------------------------- | ---
0x013d | 0b0000100111101 | --- | --------------------------------------- | ---
0x013e | 0b0000100111110 | --- | --------------------------------------- | ---
0x013f | 0b0000100111111 | --- | --------------------------------------- | ---
0x0140 | 0b0000101000000 | 020 | minecraft:glass                         | minecraft:glass
0x0141 | 0b0000101000001 | --- | --------------------------------------- | ---
0x0142 | 0b0000101000010 | --- | --------------------------------------- | ---
0x0143 | 0b0000101000011 | --- | --------------------------------------- | ---
0x0144 | 0b0000101000100 | --- | --------------------------------------- | ---
0x0145 | 0b0000101000101 | --- | --------------------------------------- | ---
0x0146 | 0b0000101000110 | --- | --------------------------------------- | ---
0x0147 | 0b0000101000111 | --- | --------------------------------------- | ---
0x0148 | 0b0000101001000 | --- | --------------------------------------- | ---
0x0149 | 0b0000101001001 | --- | --------------------------------------- | ---
0x014a | 0b0000101001010 | --- | --------------------------------------- | ---
0x014b | 0b0000101001011 | --- | --------------------------------------- | ---
0x014c | 0b0000101001100 | --- | --------------------------------------- | ---
0x014d | 0b0000101001101 | --- | --------------------------------------- | ---
0x014e | 0b0000101001110 | --- | --------------------------------------- | ---
0x014f | 0b0000101001111 | --- | --------------------------------------- | ---
0x0150 | 0b0000101010000 | 021 | minecraft:lapis_ore                     | minecraft:lapis_ore
0x0151 | 0b0000101010001 | --- | --------------------------------------- | ---
0x0152 | 0b0000101010010 | --- | --------------------------------------- | ---
0x0153 | 0b0000101010011 | --- | --------------------------------------- | ---
0x0154 | 0b0000101010100 | --- | --------------------------------------- | ---
0x0155 | 0b0000101010101 | --- | --------------------------------------- | ---
0x0156 | 0b0000101010110 | --- | --------------------------------------- | ---
0x0157 | 0b0000101010111 | --- | --------------------------------------- | ---
0x0158 | 0b0000101011000 | --- | --------------------------------------- | ---
0x0159 | 0b0000101011001 | --- | --------------------------------------- | ---
0x015a | 0b0000101011010 | --- | --------------------------------------- | ---
0x015b | 0b0000101011011 | --- | --------------------------------------- | ---
0x015c | 0b0000101011100 | --- | --------------------------------------- | ---
0x015d | 0b0000101011101 | --- | --------------------------------------- | ---
0x015e | 0b0000101011110 | --- | --------------------------------------- | ---
0x015f | 0b0000101011111 | --- | --------------------------------------- | ---
0x0160 | 0b0000101100000 | 022 | minecraft:lapis_block                   | minecraft:lapis_block
0x0161 | 0b0000101100001 | --- | --------------------------------------- | ---
0x0162 | 0b0000101100010 | --- | --------------------------------------- | ---
0x0163 | 0b0000101100011 | --- | --------------------------------------- | ---
0x0164 | 0b0000101100100 | --- | --------------------------------------- | ---
0x0165 | 0b0000101100101 | --- | --------------------------------------- | ---
0x0166 | 0b0000101100110 | --- | --------------------------------------- | ---
0x0167 | 0b0000101100111 | --- | --------------------------------------- | ---
0x0168 | 0b0000101101000 | --- | --------------------------------------- | ---
0x0169 | 0b0000101101001 | --- | --------------------------------------- | ---
0x016a | 0b0000101101010 | --- | --------------------------------------- | ---
0x016b | 0b0000101101011 | --- | --------------------------------------- | ---
0x016c | 0b0000101101100 | --- | --------------------------------------- | ---
0x016d | 0b0000101101101 | --- | --------------------------------------- | ---
0x016e | 0b0000101101110 | --- | --------------------------------------- | ---
0x016f | 0b0000101101111 | --- | --------------------------------------- | ---
0x0170 | 0b0000101110000 | 023 | minecraft:dispenser                     | minecraft:dispenser[facing=down,triggered=false]
0x0171 | 0b0000101110001 | 023 | minecraft:dispenser                     | minecraft:dispenser[facing=up,triggered=false]
0x0172 | 0b0000101110010 | 023 | minecraft:dispenser                     | minecraft:dispenser[facing=north,triggered=false]
